gene,baseMean,log2FoldChange,pvalue,padj
Mks1,93.57469045733056,-1.0999684988553131,4.849987675565592e-05,9.029451749846022e-05
Smyd5,1106.6022513781552,0.37729773363989555,4.8555125501180396e-05,9.038497991676121e-05
Lig4,146.5685466661078,-0.7569371446175929,4.864979639359499e-05,9.054879147767153e-05
Tmem263,153.0588009846381,-0.729227569854297,4.9426452956264135e-05,9.19817209251891e-05
Lmf2,1421.3692379528268,0.34950829424288044,4.95676840869927e-05,9.223190456433707e-05
Cep43,282.77656017518535,-0.5640437535881839,4.965605820422472e-05,9.238368065572181e-05
Dusp14,10.80300501761196,5.572542170891094,4.99430772623849e-05,9.290493774970709e-05
Tex15,10.682923116198097,3.083560958604206,5.012122638061923e-05,9.322355808310844e-05
Yars,1625.7961452736056,0.282468084892287,5.014449247093527e-05,9.325405408966643e-05
Gprc5c,89.0398101315247,1.01603828404267,5.0200720594538094e-05,9.334583306167946e-05
Gpnmb,85054.72665181877,-0.2420876950542392,5.030671820908034e-05,9.35301181988846e-05
Slc2a4rg-ps,87.14991094027438,-0.9986893011961657,5.044129124854914e-05,9.376747293998988e-05
Ctso,1100.673169520578,0.3495981326959966,5.0720601297409185e-05,9.427378365206522e-05
Zfp182,156.78143638309413,-0.778541012208808,5.1719815754584776e-05,9.611785036318918e-05
Frg1,814.5466036635324,0.3691548450353255,5.183458698511995e-05,9.631795807474582e-05
Cd180,6621.680254671126,-0.2214733481590287,5.212706452377896e-05,9.684817599860056e-05
Pros1,890.8305969246926,0.4743234247127605,5.223026758162456e-05,9.702663913411411e-05
Tars2,626.5981640475756,-0.4244752356680525,5.2563518973178164e-05,9.763234900683093e-05
Ilf3,1674.8954098612905,0.29819781252483085,5.2917655596854624e-05,9.827668040384521e-05
Pitpnb,1180.373548639601,0.3133045434558798,5.305979537025135e-05,9.852717679285798e-05
Bet1,482.62714365429116,-0.547761023321009,5.319923287871083e-05,9.877258748401324e-05
Fsd1l,218.7672253545911,0.6672955177506368,5.33947522749415e-05,9.912204149070787e-05
Nars2,119.22624313911321,-1.0837683669442402,5.357400770582386e-05,9.944121162298004e-05
Zfp945,215.1559528546858,0.666481495183076,5.3591686846621566e-05,9.946042620399797e-05
Tmem116,38.1819904446879,-1.74892083966515,5.360013599139668e-05,9.946250799005038e-05
Mrps25,433.7746638562705,-0.4857963246719399,5.37287689563959e-05,9.968757651915227e-05
Zfp65,320.1763442366887,-0.5607670100607027,5.4851818507322745e-05,0.00010175735744408896
Epop,198.2199341866265,0.6981778158245244,5.5510365237880584e-05,0.00010296497646064376
Dyrk3,29.09665481646046,-1.8738344951318862,5.567548473367132e-05,0.00010325714302156776
Ighm,353.18409989492653,-0.7013526125537645,5.652547510628756e-05,0.00010481923484873597
Capn7,1236.9335459998879,-0.3376138163701959,5.6596817798974087e-05,0.00010493719502844888
Gm47242,63.640366844188655,5.285859862822596,5.662738293804253e-05,0.00010497952690535226
Gemin5,720.7048799195541,-0.39041831490025003,5.664781752606286e-05,0.00010500306911085309
Bbln,367.49294687447446,0.4985136229015476,5.695574942109656e-05,0.0001055594405573409
Mctp1,548.1733738887403,-0.43715507245623947,5.705746481164438e-05,0.00010571908645280657
Acbd4,136.60460066926993,-0.865759267302434,5.705260544333532e-05,0.00010571908645280657
Etfrf1,213.1252653646918,-0.6359312391429393,5.707723879571972e-05,0.00010574129103495284
Lrrc17,14.046821304921293,-5.449925415617997,5.710253947254243e-05,0.00010577372691052005
Nab2,1194.506186815254,0.4101269780607377,5.7230974801812755e-05,0.00010599716904895707
Tpp1,4693.556668050863,-0.2521486273882685,5.755328187643301e-05,0.00010657957001237405
Nek8,79.88618488072824,-1.152762254949983,5.7565754434693003e-05,0.00010658812586230021
Ankrd46,660.6907919443323,-0.39613396737391765,5.7781664939673196e-05,0.00010697331149633442
Rcbtb1,819.3094352721106,0.40760340883554624,5.8047137463014335e-05,0.00010745013554110958
Snx15,365.8130723563004,-0.5297307471982394,5.808740570844985e-05,0.00010751001432867443
Hspa4,5913.192126927229,0.23395363725756133,5.826388446654987e-05,0.00010782194516004745
1110002J07Rik,136.51628607737783,0.915090703501247,5.8810252569621265e-05,0.00010881820724918744
Sbf1,2895.1764433711414,0.26219651945539224,5.884003785144559e-05,0.00010885848082261448
Pdxp,21.595506908512842,-1.9669676096625042,5.8927071763493124e-05,0.0001090046432430711
Septin5,11.494099632487476,2.792931811050413,5.9274930322694785e-05,0.0001096331794795284
Pheta2,30.512767786860735,-1.6978653337425524,5.978738866750578e-05,0.00011056594193088875
